id,Year,Sport,Discipline,,Country,Gender,Event,Medal,Athlete,City
1,1896,Aquatics,Swimming,,HUN,Men,100M Freestyle,Gold,"HAJOS, Alfred",Athens
2,1896,Aquatics,Swimming,,AUT,Men,100M Freestyle,Silver,"HERSCHMANN, Otto",Athens
3,1896,Aquatics,Swimming,,GRE,Men,100M Freestyle For Sailors,Bronze,"DRIVAS, Dimitrios",Athens
4,1896,Aquatics,Swimming,,GRE,Men,100M Freestyle For Sailors,Gold,"MALOKINIS, Ioannis",Athens
5,1896,Aquatics,Swimming,,GRE,Men,100M Freestyle For Sailors,Silver,"CHASAPIS, Spiridon",Athens
6,1896,Aquatics,Swimming,,GRE,Men,1200M Freestyle,Bronze,"CHOROPHAS, Efstathios",Athens
7,1896,Aquatics,Swimming,,HUN,Men,1200M Freestyle,Gold,"HAJOS, Alfred",Athens
8,1896,Aquatics,Swimming,,GRE,Men,1200M Freestyle,Silver,"ANDREOU, Joannis",Athens
9,1896,Aquatics,Swimming,,GRE,Men,400M Freestyle,Bronze,"CHOROPHAS, Efstathios",Athens
10,1896,Aquatics,Swimming,,AUT,Men,400M Freestyle,Gold,"NEUMANN, Paul",Athens
11,1896,Aquatics,Swimming,,GRE,Men,400M Freestyle,Silver,"PEPANOS, Antonios",Athens
12,1896,Athletics,Athletics,,USA,Men,100M,Bronze,"LANE, Francis",Athens
13,1896,Athletics,Athletics,,HUN,Men,100M,Bronze,"SZOKOLYI, Alajos",Athens
14,1896,Athletics,Athletics,,USA,Men,100M,Gold,"BURKE, Thomas",Athens
15,1896,Athletics,Athletics,,GER,Men,100M,Silver,"HOFMANN, Fritz",Athens
16,1896,Athletics,Athletics,,USA,Men,110M Hurdles,Gold,"CURTIS, Thomas",Athens
17,1896,Athletics,Athletics,,GBR,Men,110M Hurdles,Silver,"GOULDING, Grantley",Athens
18,1896,Athletics,Athletics,,FRA,Men,1500M,Bronze,"LERMUSIAUX, Albin",Athens
19,1896,Athletics,Athletics,,AUS,Men,1500M,Gold,"FLACK, Edwin",Athens
20,1896,Athletics,Athletics,,USA,Men,1500M,Silver,"BLAKE, Arthur",Athens
21,1896,Athletics,Athletics,,GBR,Men,400M,Bronze,"GMELIN, Charles",Athens
22,1896,Athletics,Athletics,,USA,Men,400M,Gold,"BURKE, Thomas",Athens
23,1896,Athletics,Athletics,,USA,Men,400M,Silver,"JAMISON, Herbert",Athens
24,1896,Athletics,Athletics,,GRE,Men,800M,Bronze,"GOLEMIS, Dimitrios",Athens
25,1896,Athletics,Athletics,,AUS,Men,800M,Gold,"FLACK, Edwin",Athens
26,1896,Athletics,Athletics,,HUN,Men,800M,Silver,"DANI, Nandor",Athens
27,1896,Athletics,Athletics,,GRE,Men,Discus Throw,Bronze,"VERSIS, Sotirios",Athens
28,1896,Athletics,Athletics,,USA,Men,Discus Throw,Gold,"GARRETT, Robert",Athens
29,1896,Athletics,Athletics,,GRE,Men,Discus Throw,Silver,"PARASKEVOPOULOS, Panagiotis",Athens
30,1896,Athletics,Athletics,,USA,Men,High Jump,Gold,"CLARK, Ellery",Athens
31,1896,Athletics,Athletics,,USA,Men,High Jump,Silver,"CONNOLLY, James",Athens
32,1896,Athletics,Athletics,,USA,Men,High Jump,Silver,"GARRETT, Robert",Athens
